,name,nickname,price,daily_percent,weekly_percent,market_cap,volume,circulating_supply,time
0,Bitcoin,BTC,"$38,204.88",5.24%,2.87%,"$715,380,900,551","$33,539,558,264","18,724,856 BTC",2021-06-02 11:24:44.991497
1,Ethereum,ETH,"$2,795.29",8.73%,0.13%,"$324,611,551,882","$26,741,271,500","116,128,040 ETH",2021-06-02 11:24:44.991497
2,Binance Coin,BNB,$413.73,17.91%,9.94%,"$63,480,271,175","$4,449,535,243","153,432,897 BNB",2021-06-02 11:24:44.991497
3,Tether,USDT,$1.00,0.02%,0.09%,"$61,792,399,739","$82,502,043,717","61,755,989,372 USDT",2021-06-02 11:24:44.991497
4,Cardano,ADA,$1.80,5.84%,2.26%,"$57,496,143,262","$3,793,859,383","31,948,309,441 ADA",2021-06-02 11:24:44.991497
5,Dogecoin,DOGE,$0.4189,32.47%,20.54%,"$54,391,347,018","$12,202,410,043","129,854,396,862 DOGE",2021-06-02 11:24:44.991497
6,XRP,XRP,$1.04,3.66%,3.96%,"$48,100,645,072","$3,874,559,204","46,151,013,329 XRP",2021-06-02 11:24:44.991497
7,Polkadot,DOT,$25.90,14.91%,10.80%,"$24,459,647,461","$2,631,171,089","944,205,913 DOT",2021-06-02 11:24:44.991497
8,USD Coin,USDC,$1.00,0.01%,0.01%,"$22,701,794,255","$1,801,901,998","22,692,270,633 USDC",2021-06-02 11:24:44.991497
9,Uniswap,UNI,$28.78,7.99%,8.41%,"$16,283,119,290","$625,933,980","565,733,311 UNI",2021-06-02 11:24:44.991497
10,Internet Computer,ICP,$111.40,1.98%,20.91%,"$13,819,592,274","$220,853,581","124,048,742 ICP",2021-06-02 11:24:44.991497
11,Chainlink,LINK,$31.84,6.84%,3.48%,"$13,676,663,265","$1,516,822,022","429,509,554 LINK",2021-06-02 11:24:44.991497
12,Bitcoin Cash,BCH,$713.92,4.82%,3.69%,"$13,388,398,158","$2,284,889,203","18,753,238 BCH",2021-06-02 11:24:44.991497
13,Litecoin,LTC,$191.24,6.68%,2.67%,"$12,766,026,796","$2,805,948,954","66,752,415 LTC",2021-06-02 11:24:44.991497
14,Polygon,MATIC,$1.86,1.04%,18.67%,"$11,628,039,236","$1,879,934,913","6,262,089,653 MATIC",2021-06-02 11:24:44.991497
15,Stellar,XLM,$0.4288,0.08%,3.39%,"$9,911,324,982","$1,133,593,881","23,115,790,568 XLM",2021-06-02 11:24:44.991497
16,Solana,SOL,$34.42,10.22%,1.70%,"$9,385,169,147","$426,952,004","272,637,428 SOL",2021-06-02 11:24:44.991497
17,Binance USD,BUSD,$1.00,0.01%,0.02%,"$9,030,305,524","$6,298,452,906","9,023,954,155 BUSD",2021-06-02 11:24:44.991497
18,VeChain,VET,$0.131,7.90%,0.57%,"$8,422,341,659","$968,416,293","64,315,576,989 VET",2021-06-02 11:24:44.991497
19,Ethereum Classic,ETC,$69.49,4.10%,9.62%,"$8,082,725,033","$2,938,617,118","116,313,299 ETC",2021-06-02 11:24:44.991497
20,THETA,THETA,$8.02,4.27%,9.71%,"$8,024,916,688","$347,794,655","1,000,000,000 THETA",2021-06-02 11:24:44.991497
21,Wrapped Bitcoin,WBTC,"$38,170.21",5.21%,2.94%,"$7,092,432,737","$132,188,642","185,811 WBTC",2021-06-02 11:24:44.991497
22,EOS,EOS,$6.53,5.06%,4.45%,"$6,225,228,182","$1,961,086,666","953,909,398 EOS",2021-06-02 11:24:44.991497
23,TRON,TRX,$0.07932,5.73%,2.72%,"$5,683,814,959","$1,517,329,851","71,659,657,369 TRX",2021-06-02 11:24:44.991497
